#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2458273.4836750268 	 1.1260000000 	 0.0000000000 	 2.7020756792 	 36.7569495338 	 332.7055410563 
2458273.4843231146 	 1.1270000000 	 0.2720839359 	 2.8143969103 	 36.3120420538 	 332.8862313325 
2458273.4856192903 	 1.1300000000 	 0.3129279376 	 2.9511097259 	 37.2914216394 	 332.7843732892 
2458273.4862673781 	 1.1320000000 	 0.3326525383 	 2.9013377230 	 36.8472651285 	 332.9121650284 
2458273.4869154659 	 1.1340000000 	 0.3466096993 	 3.2715592408 	 37.3969963525 	 332.8334795101 
2458273.4875751268 	 1.1360000000 	 0.3531066370 	 3.1361728560 	 36.6704591143 	 332.8839348458 
2458273.4882232146 	 1.1370000000 	 0.3521144931 	 2.8526479993 	 37.5299476402 	 332.7775855791 
2458273.4896119745 	 1.1410000000 	 0.3322229645 	 2.9043225897 	 42.9995001216 	 332.7856765401 
2458273.4903179272 	 1.1430000000 	 0.3164058090 	 3.1239409671 	 43.7592102727 	 332.8324170998 
2458273.4910238800 	 1.1450000000 	 0.2986636524 	 3.3730601509 	 44.6994252077 	 332.9377627228 
2458273.4917298327 	 1.1470000000 	 0.2802022606 	 3.1497514774 	 44.3775514862 	 332.9067542247 
2458273.4924357855 	 1.1490000000 	 0.2618560715 	 2.8790214511 	 44.4680152092 	 332.8050624838 
2458273.4931417382 	 1.1510000000 	 0.2440489419 	 2.9229196003 	 43.2350166268 	 332.8443378598 
2458273.4938476910 	 1.1530000000 	 0.2268316078 	 2.8264730525 	 44.3858561217 	 332.9233026763 
2458273.4945536437 	 1.1550000000 	 0.2100067696 	 2.7623887205 	 43.2652263165 	 332.8160632056 
2458273.4952480234 	 1.1570000000 	 0.1933334470 	 2.7240358243 	 44.4065091162 	 332.9164936790 
2458273.4959539762 	 1.1590000000 	 0.1766775044 	 2.5665491141 	 43.4862283189 	 332.8398047516 
2458273.4966599289 	 1.1620000000 	 0.1600470047 	 2.6489310663 	 43.6337984867 	 332.8631575854 
2458273.4973774548 	 1.1640000000 	 0.1435365525 	 2.4664002666 	 44.0103988038 	 332.8651161529 
2458273.4980834075 	 1.1660000000 	 0.1272472320 	 2.3869322919 	 43.8441939291 	 332.8073194998 
2458273.4987893603 	 1.1680000000 	 0.1112587646 	 2.4853948638 	 43.9195667277 	 332.8627563629 
2458273.4994837400 	 1.1710000000 	 0.0956717330 	 2.3847599932 	 44.5744270871 	 332.8739786643 
2458273.5001896927 	 1.1730000000 	 0.0806668073 	 2.3860575357 	 43.5256810682 	 332.8448623688 
