# Time                DetFlux         DetFluxErr       Model
2457090.6974491752    0.9999182864    0.0002930236     1.0000000000
2457090.6981783337    1.0000653683    0.0003001753     1.0000000000
2457090.6989190662    1.0003921978    0.0002850157     1.0000000000
2457090.6996597983    0.9997000492    0.0002986992     1.0000000000
2457090.7003889568    1.0001306009    0.0002942039     1.0000000000
2457090.7011296893    0.9999426730    0.0002954914     1.0000000000
2457090.7018704219    0.9995995744    0.0002892333     1.0000000000
2457090.7026111539    0.9999697184    0.0002928493     1.0000000000
2457090.7033518865    1.0001527722    0.0002950978     1.0000000000
2457090.7040810450    0.9998433755    0.0002991757     1.0000000000
2457090.7048217771    1.0001941960    0.0002987007     1.0000000000
2457090.7055625096    0.9998961746    0.0002913919     1.0000000000
2457090.7062916681    1.0003399962    0.0002958551     1.0000000000
2457090.7070324002    0.9998676712    0.0002955757     1.0000000000
2457090.7077499847    1.0000835144    0.0002917443     1.0000000000
2457090.7084328476    0.9995926747    0.0002816044     1.0000000000
2457090.7091157101    0.9996984618    0.0002924174     1.0000000000
2457090.7097985726    1.0001214227    0.0002952875     1.0000000000
2457090.7104814351    0.9999064404    0.0002820962     1.0000000000
2457090.7111642980    1.0002171633    0.0002996214     1.0000000000
2457090.7118471605    1.0000002160    0.0002864598     1.0000000000
2457090.7125415970    1.0001725888    0.0003014130     1.0000000000
2457090.7132823295    1.0003615433    0.0003001409     1.0000000000
2457090.7140577836    0.9997386996    0.0002817756     0.9997421451
2457090.7148563853    0.9985270925    0.0002995236     0.9989334369
2457090.7156434134    0.9977733900    0.0002884985     0.9977864935
2457090.7164420155    0.9964978794    0.0002852388     0.9963510100
2457090.7172406176    0.9942521590    0.0003080309     0.9947033724
2457090.7180276457    0.9928652744    0.0002955753     0.9929249539
2457090.7188262474    0.9909092841    0.0002873138     0.9910089078
2457090.7196248495    0.9890660970    0.0002802171     0.9890220965
2457090.7204118776    0.9877309186    0.0002914100     0.9870359911
2457090.7212104793    0.9851357649    0.0002863812     0.9850389255
2457090.7219975074    0.9831157510    0.0002902920     0.9831322679
2457090.7227961095    0.9813108546    0.0002919158     0.9813086368
2457090.7235947112    0.9797284069    0.0002916981     0.9796529896
2457090.7243817393    0.9780389890    0.0002837166     0.9782874753
2457090.7251803414    0.9772857087    0.0002807874     0.9773273534
2457090.7259789431    0.9770623487    0.0002896779     0.9766841505
2457090.7267775452    0.9759144456    0.0002832248     0.9761459129
2457090.7275645728    0.9754380748    0.0002921829     0.9756903681
2457090.7283631749    0.9751342499    0.0002874826     0.9752886968
2457090.7291617766    0.9749240464    0.0002807984     0.9749340922
2457090.7299488047    0.9744871070    0.0002925223     0.9746227397
2457090.7307474068    0.9743841114    0.0002774905     0.9743434864
2457090.7315460085    0.9740794704    0.0002792425     0.9740995046
2457090.7323330366    0.9740883715    0.0002854199     0.9738877832
2457090.7331316383    0.9738061994    0.0002899904     0.9737059869
2457090.7339302399    0.9733284524    0.0002831336     0.9735470061
2457090.7347288420    0.9739039595    0.0002818370     0.9734120671
