# Variable    Value              SigmaUp         SigmaDown
q1            0.6021590021       0.2389459536    0.1715457471
q2            0.3068025578       0.1760825456    0.1881799139
alpha0        0.1832232114       0.3536300394    0.1392969664
b             0.6527011722       0.0143281305    0.0137194541
jitter        0.0003372159       0.0000348014    0.0000368109
alpha4        0.1025303167       0.1865327450    0.0750986775
p             0.1579964048       0.0021803220    0.0027840429
alpha5        0.0630564685       0.5117038675    0.0543361775
t0            2457090.7388838609 0.0000810591    0.0000792006
max_var       0.0000017305       0.0000015223    0.0000007425
P             0.8134743604       0.0000000333    0.0000000340
aR            4.9773728478       0.0564436282    0.0629692600
alpha1        0.2998342431       0.4455462324    0.1929354838
alpha3        0.1809446966       0.3781114181    0.1390442013
alpha2        0.0966595927       0.2097716095    0.0765639371
mmean        -0.0291923970       0.0016683339    0.0018635081
inc           82.4651725620      0.2335773493    0.2584833699
