# Time                DetFlux         DetFluxErr      Model
2457854.5299785533    1.0001660779    0.0004049404    1.0000000000
2457854.5308697042    1.0005650594    0.0004053324    1.0000000000
2457854.5316682677    0.9990635547    0.0004180379    1.0000000000
2457854.5323048043    0.9999883971    0.0004235365    1.0000000000
2457854.5329297669    0.9995978613    0.0003938434    1.0000000000
2457854.5335778766    0.9999459602    0.0004127718    1.0000000000
2457854.5342144128    1.0001249999    0.0004087904    1.0000000000
2457854.5348393759    1.0001481544    0.0004184454    1.0000000000
2457854.5354874851    1.0001361114    0.0004310588    1.0000000000
2457854.5361240217    0.9993435440    0.0004070299    1.0000000000
2457854.5367721310    0.9992078256    0.0004075126    1.0000000000
2457854.5374086676    1.0001721811    0.0004055859    1.0000000000
2457854.5380452038    0.9997191434    0.0004172450    1.0000000000
2457854.5386817399    1.0000396669    0.0004202616    1.0000000000
2457854.5393182761    1.0005536175    0.0004185935    1.0000000000
2457854.5399548123    0.9999431936    0.0003943523    1.0000000000
2457854.5405913484    1.0005086925    0.0004215070    1.0000000000
2457854.5412278846    0.9999674606    0.0003929425    1.0000000000
2457854.5418644208    0.9996468609    0.0004092258    1.0000000000
2457854.5425009569    1.0007568863    0.0004148140    1.0000000000
2457854.5431374931    1.0003231553    0.0004175498    1.0000000000
2457854.5437856028    0.9996534120    0.0004112165    1.0000000000
2457854.5444221389    0.9998956869    0.0004079806    1.0000000000
2457854.5450586751    1.0002085213    0.0004216983    1.0000000000
2457854.5456952113    0.9997000278    0.0004121424    1.0000000000
2457854.5463317474    1.0004217228    0.0004064364    1.0000000000
2457854.5469798571    0.9997491138    0.0004072154    1.0000000000
2457854.5476279669    0.9999172530    0.0004096883    1.0000000000
2457854.5482876496    1.0008113839    0.0004056961    1.0000000000
2457854.5489589060    0.9997746760    0.0003987751    1.0000000000
2457854.5496185888    1.0002288495    0.0004133656    1.0000000000
2457854.5502782715    0.9995334225    0.0004111482    1.0000000000
2457854.5509379548    1.0001893884    0.0004138026    1.0000000000
2457854.5516092111    1.0001668051    0.0004166234    1.0000000000
2457854.5522920405    0.9998917865    0.0004093191    1.0000000000
2457854.5529748704    0.9997600683    0.0004215549    1.0000000000
2457854.5536576998    0.9997649637    0.0004089011    1.0000000000
2457854.5543521028    0.9999635795    0.0004173014    1.0000000000
2457854.5550349327    0.9997813012    0.0004219180    1.0000000000
2457854.5557177626    1.0003148756    0.0004196864    1.0000000000
2457854.5564005920    1.0000133383    0.0004063070    1.0000000000
2457854.5570834219    1.0002080391    0.0004068965    1.0000000000
2457854.5577662513    0.9998817553    0.0004241037    1.0000000000
2457854.5584606542    0.9995227190    0.0004284226    1.0000000000
2457854.5591550572    1.0000834268    0.0003888169    1.0000000000
2457854.5598378871    0.9993467889    0.0004221630    1.0000000000
2457854.5605207165    1.0003797503    0.0004172755    1.0000000000
2457854.5612151194    1.0001488594    0.0004076390    1.0000000000
2457854.5618979493    0.9999390669    0.0004047493    1.0000000000
2457854.5625923523    1.0002700728    0.0004185000    1.0000000000
2457854.5632983283    0.9997971198    0.0004024182    1.0000000000
2457854.5640158784    0.9997971831    0.0004104189    1.0000000000
2457854.5647334279    1.0002184851    0.0004084178    1.0000000000
2457854.5654625511    1.0001140505    0.0004213673    1.0000000000
2457854.5661916742    0.9998234241    0.0004113421    0.9998235169
2457854.5669207973    0.9993408316    0.0004047576    0.9991472169
2457854.5676499205    0.9985758807    0.0004214782    0.9981529275
2457854.5683790436    0.9966324856    0.0004136971    0.9969232427
2457854.5691081667    0.9954520711    0.0004126186    0.9955098146
2457854.5698372899    0.9937091403    0.0004057277    0.9939547992
2457854.5705779861    0.9926655277    0.0004021440    0.9922722596
2457854.5712955361    0.9904839833    0.0003991477    0.9905690565
2457854.5720362323    0.9887613808    0.0004123119    0.9887746790
2457854.5727537819    0.9870266232    0.0003954484    0.9870319281
2457854.5734713315    0.9854548458    0.0004066519    0.9853197565
2457854.5741773080    0.9836214743    0.0004108550    0.9836897156
2457854.5748832845    0.9819386865    0.0004003054    0.9821447477
2457854.5755892606    0.9804990601    0.0004061035    0.9807334238
2457854.5762952371    0.9795230430    0.0004036166    0.9794979384
2457854.5769896396    0.9786876644    0.0004219907    0.9785585389
2457854.5776724694    0.9778771854    0.0003964980    0.9779314934
2457854.5783552988    0.9774345408    0.0004160705    0.9774850831
2457854.5790497018    0.9772516774    0.0003955147    0.9770983854
2457854.5797325312    0.9770906964    0.0003950072    0.9767655096
2457854.5804269342    0.9766664393    0.0004012295    0.9764651851
2457854.5811097636    0.9760331785    0.0003968636    0.9761993974
2457854.5817925930    0.9754000404    0.0003992205    0.9759640362
2457854.5824869960    0.9757978056    0.0003988087    0.9757461050
2457854.5831698254    0.9757804539    0.0004126889    0.9755547440
2457854.5838410812    0.9751511601    0.0004139658    0.9753870943
2457854.5845007640    0.9750057549    0.0003847869    0.9752399046
2457854.5851604468    0.9751300462    0.0004095134    0.9751129547
2457854.5858201296    0.9754170070    0.0004000124    0.9750001225
2457854.5864798124    0.9746034784    0.0003934765    0.9749013012
2457854.5871394947    0.9745523812    0.0003985752    0.9748176463
2457854.5878107511    0.9748008942    0.0004071380    0.9747476967
2457854.5884704334    0.9749940607    0.0003794660    0.9746914809
2457854.5891301162    0.9747753586    0.0004034987    0.9746483839
2457854.5897897989    0.9743816819    0.0004179456    0.9746176417
2457854.5904263346    0.9740485397    0.0003890834    0.9746009880
2457854.5910628708    0.9746971505    0.0004005313    0.9745959202
2457854.5916878334    0.9741489200    0.0004100195    0.9746028557
2457854.5923012225    0.9753421391    0.0004012175    0.9746198706
2457854.5929146116    0.9745302671    0.0003952033    0.9746487971
2457854.5935280006    0.9749546605    0.0003812459    0.9746906933
2457854.5941413897    0.9743726656    0.0004078302    0.9747418478
2457854.5947547788    0.9748099476    0.0003902676    0.9748044070
2457854.5953681679    0.9745551405    0.0004092827    0.9748775954
2457854.5959815569    0.9750297514    0.0003955976    0.9749662772
2457854.5965949460    0.9751834031    0.0003815878    0.9750670650
2457854.5972083355    0.9756588703    0.0003929894    0.9751797241
2457854.5978217246    0.9759105316    0.0004042110    0.9753085897
2457854.5984351137    0.9750632361    0.0003985305    0.9754530020
2457854.5990600758    0.9753696678    0.0003781051    0.9756152918
2457854.5996734649    0.9756671736    0.0004026302    0.9757954287
